InstitutionName,InstitutionLabel,Country,CountryCode,ConsortiaCode,MemberType,sId,rorId,isConsortium,Institution,salsaId,orgId,Comment,TP,FP,FN,TN
Victoria University of Wellington,Victoria University of Wellington,New Zealand,NZ,,member,461,https://ror.org/0040r6f76,0,Victoria University of Wellington,52320630,60002316,,1,0,0,1999
Commonwealth Scientific and Industrial Research Organisation (CSIRO),Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,AU,,member,462,https://ror.org/03qn8fb07,0,Commonwealth Scientific and Industrial Research Organisation (CSIRO),,60029470,,2,2,0,1996
Concordia University,Concordia University,Canada,CA,CRKN,member,463,https://ror.org/0420zvk78,0,Concordia University,,60033154,,0,0,0,2000
Chennai Mathematical Institute,Chennai Mathematical Institute,India,IN,,member,464,https://ror.org/04zp24820,0,Chennai Mathematical Institute,,60032005,,0,0,0,2000
Abo Akademi University,Abo Akademi University,Finland,FI,FinELib,member,465,https://ror.org/029pk6x14,0,Abo Akademi University,,60015375,,0,0,0,2000
Tampere University of Applied Sciences,Tampere University of Applied Sciences,Finland,FI,FinELib,member,466,https://ror.org/00bwtjf83,0,Tampere University of Applied Sciences,,60110687,,0,0,0,2000
University of Eastern Finland,University of Eastern Finland,Finland,FI,FinELib,member,467,https://ror.org/00cyydd11,0,University of Eastern Finland,,60103673,,0,0,0,2000
University of Jyväskylä,University of Jyväskylä,Finland,FI,FinELib,member,468,https://ror.org/05n3dz165,0,University of Jyväskylä,,60032398,,3,1,4,1992
University of Turku,University of Turku,Finland,FI,FinELib,member,469,https://ror.org/05vghhr25,0,University of Turku,,60006876,,3,1,0,1996
Université de Fribourg,Université de Fribourg,Switzerland,CH,CSAL,member,471,https://ror.org/022fs9h90,0,Université de Fribourg,,60024631,,1,0,3,1996
Université de Neuchâtel,Université de Neuchâtel,Switzerland,CH,CSAL,member,472,https://ror.org/00vasag41,0,Université de Neuchâtel,,60002128,,1,0,0,1999
Ecole Polytechnique Fédérale de Lausanne (EPFL),Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,CH,CSAL,member,473,https://ror.org/02s376052,0,Ecole Polytechnique Fédérale de Lausanne (EPFL),2234250,60028186,,6,3,2,1989
Lib4RI,Lib4RI,Switzerland,CH,CSAL,member,474,https://ror.org/021f7p178,0,Lib4RI,,,"Not in Scopus, perhaps related to 60002612, 60020086, 60020195",0,0,0,2000
Zürcher Hochschule der Angewandten Wissenschaften,Zürcher Hochschule der Angewandten Wissenschaften,Switzerland,CH,CSAL,member,475,https://ror.org/05pmsvm27,0,Zürcher Hochschule der Angewandten Wissenschaften,,60015769,,0,0,0,2000
Paul-Drude-Institut für Festkörperelektronik PDI,Paul-Drude-Institut für Festkörperelektronik PDI,Germany,DE,DHHGF,member,476,https://ror.org/01mk1hj86,0,Paul-Drude-Institut für Festkörperelektronik PDI,,60031931,,0,0,0,2000
Indian Institute of Technology - Dharwad,Indian Institute of Technology - Dharwad,India,IN,,member,477,https://ror.org/0509djg30,0,Indian Institute of Technology - Dharwad,,60114348,,0,0,0,2000
Ames Laboratory,Ames Laboratory,United States,US,,member,482,https://ror.org/041m9xr71,0,Ames Laboratory,52320619,60008023,,0,0,0,2000
Argonne National Lab,Argonne National Lab,United States,US,,member,483,https://ror.org/05gvnxz63,0,Argonne National Lab,1714199,60028609,,6,0,0,1994
Austrian Science Fund,Austrian Science Fund,Austria,AT,,member,484,,0,Austrian Science Fund,5117545,,"Not in Scopus, should this be all Austrian Institutions?",0,0,0,0
Bibliothèque Diderot de Lyon (École Normale Supérieure de Lyon / ENS Lyon),Bibliothèque Diderot de Lyon (École Normale Supérieure de Lyon / ENS Lyon),France,FR,COUP,member,485,https://ror.org/04zmssz18,0,Bibliothèque Diderot de Lyon (École Normale Supérieure de Lyon / ENS Lyon),,60005667,,3,2,6,1989
Big Ten Academic Alliance,Big Ten Academic Alliance,United States,US,BTAA,champion,486,https://ror.org/02ntfsb56,1,Big Ten Academic Alliance,,,special definition,0,0,0,2000
Binghamton University - SUNY,Binghamton University - SUNY,United States,US,,member,487,https://ror.org/008rmbt77,0,Binghamton University - SUNY,,60020273,,0,0,0,2000
Brock University,Brock University,Canada,CA,CRKN,member,488,https://ror.org/056am2717,0,Brock University,,60001343,,0,0,0,2000
Brookhaven National Laboratory,Brookhaven National Laboratory,United States,US,,member,489,https://ror.org/02ex6cf31,0,Brookhaven National Laboratory,1733023,60006221,,2,0,0,1998
CSIC - Centro Nacional de Biotecnologia (CNB),CSIC - Centro Nacional de Biotecnologia (CNB),Spain,ES,CSIC,member,490,https://ror.org/015w4v032,0,CSIC - Centro Nacional de Biotecnologia (CNB),,60018678,,0,0,0,2000
CSIC - Centro Nacional de Investigaciones Metalurgicas (CENIM),CSIC - Centro Nacional de Investigaciones Metalurgicas (CENIM),Spain,ES,CSIC,member,491,https://ror.org/04m7z8d34,0,CSIC - Centro Nacional de Investigaciones Metalurgicas (CENIM),,60014583,,0,0,0,2000
CSIC - Centro de Ciencias Humanas y Sociales,CSIC - Centro de Ciencias Humanas y Sociales,Spain,ES,CSIC,member,492,https://ror.org/0391qz193,0,CSIC - Centro de Ciencias Humanas y Sociales,,60015464,,0,0,0,2000
CSIC - Centro de Estudios Avanzados de Blanes (CEAB),CSIC - Centro de Estudios Avanzados de Blanes (CEAB),Spain,ES,CSIC,member,493,https://ror.org/019pzjm43,0,CSIC - Centro de Estudios Avanzados de Blanes (CEAB),,60020193,,0,0,0,2000
